"name" "district" "lat" "lon" "lead" "ideo" "sess"
"107" "Paul Cronin" "MA-05" "42.3566545437366" "-71.2979315546239" 0.611321802055 0.71968742461 93
"108" "John Culver" "IA-02" "41.208285709684" "-92.1492080753928" 0.838078696109 0.457925877554 93
"109" "Robert Daniel" "VA-04" "36.9757406494398" "-77.304592878447" 0.0252717631641 0.713768158335 93
"110" "Wilbur Daniel" "VA-05" "37.3465688403645" "-78.7418897334978" 0.0173296112804 0.773109381477 93
"111" "Dominick Daniels" "NJ-14" "na" "na" 0.757953505031 0.440375402351 93
"112" "George Danielson" "CA-29" "34.2660284289513" "-118.430950746792" 0.696790655686 0.414366425291 93
"113" "Glenn Davis" "WI-09" "na" "na" 0.182664571313 0.548409371572 93
"114" "John Davis" "GA-07" "34.0420942981843" "-84.0832079788025" 0.586259328659 0.730642202587 93
"115" "Mendel Davis" "SC-01" "32.7189349431993" "-80.1526999205334" 0.11207799291 0.719382780257 93
"116" "Eligio de la Garza" "TX-15" "27.755902634683" "-98.2610675091645" 0.0848620179029 0.53569557928 93
"117" "Ron de Lugo" "VI-00" "18.0598178296707" "-64.8390368726807" 0.500380713776 0.33156116734 93
"118" "James Delaney" "NY-09" "40.6414385205812" "-73.9474283261427" 0.425945661557 0.465756579653 93
"119" "John Dellenback" "OR-04" "43.4812026772606" "-123.260907721359" 0.501148151594 0.651029422005 93
"120" "Ronald Dellums" "CA-07" "38.4822090988748" "-121.218721118348" 0.590869395903 0.116833624042 93
"121" "Frank Denholm" "SD-01" "na" "na" 0.7282179022 0.684776110617 93
"122" "David Dennis" "IN-10" "na" "na" 0.424279105179 0.652053032436 93
"123" "John Dent" "PA-21" "na" "na" 0.769869981103 0.527125649468 93
"124" "Edward Derwinski" "IL-04" "41.8722570357481" "-87.7649199920988" 0.447074067333 0.946255309969 93
"125" "Samuel Devine" "OH-12" "40.2379853488283" "-82.615134393843" 0.198647749455 0.757764418131 93
"126" "William Dickinson" "AL-02" "31.7077253919956" "-86.0710535364597" 0.601514067491 0.772790396354 93
"127" "Charles Diggs" "MI-13" "42.3244963195259" "-83.2510440416641" 0.67059593041 0.145086693807 93
"128" "Harold Donohue" "MA-03" "42.5848154200223" "-71.5748067301288" 0.0938828923049 0.4923835094 93
"129" "William Dorn" "SC-03" "34.3556236337114" "-82.3390653091835" 0.665627475719 0.636695967255 93
"130" "Thomas Downing" "VA-01" "37.8635951506335" "-76.8873315045133" 0.57641661105 0.721686955109 93
"131" "Robert Drinan" "MA-04" "41.9912536243757" "-71.2323441080717" 0.618499251894 0.185674035384 93
"132" "Pierre du Pont" "DE-00" "38.9949749580094" "-75.4524919340093" 0.72123356762 0.574606266488 93
"133" "Thaddeus Dulski" "NY-37" "na" "na" 0.324061884507 0.480868092419 93
"134" "John Duncan" "TN-02" "36.0470409875551" "-83.8263211581072" 0.40478531584 0.892446006506 93
"135" "Robert Eckhardt" "TX-08" "30.820523321207" "-95.54737157243" 0.608597533738 0.279961124242 93
"136" "William Edwards" "CA-09" "38.0105657358434" "-121.305047559434" 0.105374368366 0.041164551354 93
"137" "William Edwards" "AL-01" "31.0124150167112" "-87.7929448257854" 0.194503673791 0.596647017728 93
"138" "Joshua Eilberg" "PA-04" "39.925294588734" "-76.9102701907018" 0.479690303378 0.39176296717 93
"139" "John Erlenborn" "IL-14" "42.028164224824" "-88.4318218025604" 0.666242688887 0.691163428422 93
"140" "Marvin Esch" "MI-02" "43.3981549231497" "-86.3205678132988" 0.754895634322 0.753767106641 93
"141" "Edwin Eshleman" "PA-16" "40.0248010020057" "-76.2055795819315" 0.43700312965 0.809787396898 93
